,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
1379,uber/react-vis,2, v,22,10,1,77,99,0 days 00:00:00.069747
1380,myclabs/DeepCopy,1,,12,0,3,18,30,0 days 00:00:00.020800
1381,ag-grid/ag-grid,2, v,87,57,5,103,190,0 days 00:00:01.495928
1382,MahApps/MahApps.Metro,1,,21,5,11,33,54,0 days 00:00:00.282114
1383,sshuttle/sshuttle,2,v sshuttle-,29,7,6,11,40,0 days 00:00:00.059848
1384,dat-ecosystem-archive/dat,1,v,43,9,5,64,107,0 days 00:00:00.124591
1385,benoitc/gunicorn,1,,31,12,14,51,82,0 days 00:00:00.307855
1386,square/moshi,1,moshi-parent-,15,1,12,4,19,0 days 00:00:00.054788
1387,protobufjs/protobuf.js,2, v,23,7,5,55,78,0 days 00:00:00.079493
1388,agenda/agenda,2, v,20,2,8,65,85,0 days 00:00:00.177736
1389,zinclabs/zinc,1,v,2,0,1,10,12,0 days 00:00:00.018024
1390,jopohl/urh,1,v,17,6,6,74,91,0 days 00:00:00.146803
1391,ReFirmLabs/binwalk,2,python v,5,0,4,5,10,0 days 00:00:00.063490
1392,gridsome/gridsome,22,@gridsome/source-airtable@ @gridsome/source-wordpress@ @gridsome/source-graphql@ @gridsome/source-faker@ @gridsome/source-strapi@ @gridsome/source-contentful@ @gridsome/source-ghost@ @gridsome/remark-prismjs@ gridsome@ @gridsome/plugin-critical@ @gridsome/plugin-google-analytics@ @gridsome/transformer-remark@ @gridsome/source-datocms@ @gridsome/vue-remark@ @gridsome/transformer-csv@ @gridsome/transformer-yaml@ @gridsome/source-drupal@ @gridsome/source-filesystem@ v @gridsome/transformer-json@ @gridsome/plugin-sitemap@ @gridsome/cli@,7,0,0,239,246,0 days 00:00:00.150862
1393,sumatrapdfreader/sumatrapdf,1,,1,0,0,0,1,0 days 00:00:00.797669
1394,coil-kt/coil,1,,15,5,6,12,27,0 days 00:00:00.057441
1395,pre-commit/pre-commit,1,v,60,25,8,111,171,0 days 00:00:00.160691
1396,google/or-tools,1,v,32,7,8,3,35,0 days 00:00:00.581668
1397,devhubapp/devhub,2, v,55,25,3,61,116,0 days 00:00:00.180322
1398,YOURLS/YOURLS,1,,8,0,5,14,22,0 days 00:00:00.097119
1399,sogou/workflow,1,v,1,0,0,12,13,0 days 00:00:00.077271
1400,symfony/http-foundation,1,v,26,4,20,464,490,0 days 00:00:00.496180
1401,NG-ZORRO/ng-zorro-antd,1,,41,28,5,65,106,0 days 00:00:00.248803
1402,text-mask/text-mask,11, react-v ember-v vanilla-v addons-v angular1-v text-mask-v angular2-v v core-v vue-v,55,0,0,245,300,0 days 00:00:00.144071
1403,dropwizard/dropwizard,1,v,15,1,11,119,134,0 days 00:00:00.687943
1404,apache/tvm,1,v,7,0,6,1,8,0 days 00:00:00.374353
1405,facebook/buck,1,v,0,0,0,61,61,0 days 00:00:01.369961
1406,lima-vm/lima,1,v,11,6,1,16,27,0 days 00:00:00.069940
1407,sass/node-sass,4, RELEASE- napi_ v,45,7,15,114,159,0 days 00:00:00.476781
1408,tidwall/tile38,1,,27,6,7,59,86,0 days 00:00:00.174661
1409,rawgraphs/rawgraphs-app,3, v. v,3,0,2,5,8,0 days 00:00:00.032320
1410,Shopify/toxiproxy,1,v,8,0,3,11,19,0 days 00:00:00.037324
1411,gitpod-io/gitpod,4, poolkeeper-v production_ v,10,4,2,5,15,0 days 00:00:00.197609
1412,BuilderIO/partytown,1,v,6,4,0,54,60,0 days 00:00:00.176187
1413,bloomrpc/bloomrpc,2, v,6,0,3,9,15,0 days 00:00:00.016008
1414,googleapis/google-api-php-client,2, v,13,0,1,32,45,0 days 00:00:00.096732
1415,goplus/gop,1,v,5,0,3,91,96,0 days 00:00:00.147955
1416,ninja-build/ninja,2,release- v,14,1,10,12,26,0 days 00:00:00.144208
1417,alibaba/atlas,2, v,4,1,0,14,18,0 days 00:00:00.061824
1418,hediet/vscode-drawio,1,v,10,4,2,13,23,0 days 00:00:00.027145
1419,OpenFeign/feign,3, release- v,72,12,8,54,126,0 days 00:00:00.192515
1420,mawww/kakoune,1,v,1,0,0,13,14,0 days 00:00:00.368744
1421,olivernn/lunr.js,1,v,12,1,3,46,58,0 days 00:00:00.037466
1422,foliojs/pdfkit,1,v,8,0,6,12,20,0 days 00:00:00.039802
1423,symfony/event-dispatcher,1,v,26,4,17,436,462,0 days 00:00:00.445522
1424,knadh/listmonk,1,v,4,1,2,0,4,0 days 00:00:00.154972
1425,maurosoria/dirsearch,1,v,2,0,1,12,14,0 days 00:00:00.094418
1426,VulcanJS/Vulcan,2, v,22,10,6,45,67,0 days 00:00:00.356665
1427,microsoft/react-native-code-push,2, v,11,0,3,20,31,0 days 00:00:00.210554
1428,microsoft/pyright,1,,2,0,1,328,330,0 days 00:00:00.363157
1429,resilience4j/resilience4j,3, v. v,22,4,8,15,37,0 days 00:00:00.074644
1430,MetaMask/metamask-extension,5, Version- Version v v.,82,62,4,239,321,0 days 00:00:00.989474
1431,amitshekhariitbhu/Android-Debug-Database,1,v,6,2,0,6,12,0 days 00:00:00.026435
1432,paragonie/random_compat,2, v,7,0,0,54,61,0 days 00:00:00.035356
1433,PaddlePaddle/PaddleHub,2, v,12,2,1,10,22,0 days 00:00:00.090304
1434,Koenkk/zigbee2mqtt,1,,28,16,5,33,61,0 days 00:00:00.207150
1435,openshift/origin,1,v,14,1,10,25,39,0 days 00:00:01.725150
1436,happyfish100/fastdfs,1,V,16,5,4,0,16,0 days 00:00:00.023334
1437,graphql/graphql-playground,9, graphql-playground-middleware-hapi@ graphql-playground-middleware-lambda@ graphql-playground-middleware-express@ graphql-playground-react@ graphql-playground-html@ v graphql-playground-middleware-koa@ graphql-playground-electron@,9,4,0,92,101,0 days 00:00:00.080764
1438,electron/electron-packager,1,v,53,9,6,42,95,0 days 00:00:00.100811
1439,square/okio,3, parent- okio-parent-,36,10,11,13,49,0 days 00:00:00.082265
1440,OpenIMSDK/Open-IM-Server,1,v,3,1,1,15,18,0 days 00:00:00.094463
1441,abpframework/abp,2, v,43,31,3,60,103,0 days 00:00:01.317890
1442,rofl0r/proxychains-ng,1,v,16,0,10,1,17,0 days 00:00:00.023518
1443,pypa/pip,1,,36,2,27,73,109,0 days 00:00:00.680163
1444,shwenzhang/AndResGuard,1,,3,0,0,35,38,0 days 00:00:00.032606
1445,jbogard/MediatR,1,v,12,0,7,6,18,0 days 00:00:00.029044
1446,keybase/client,2, v,29,21,4,65,94,0 days 00:00:02.037272
1447,symfony/finder,1,v,26,4,16,440,466,0 days 00:00:00.441687
1448,sockjs/sockjs-client,1,v,11,0,7,20,31,0 days 00:00:00.054526
1449,dotnet/machinelearning,1,v,18,12,4,5,23,0 days 00:00:00.235727
1450,Stuk/jszip,1,v,19,5,7,14,33,0 days 00:00:00.052342
1451,VowpalWabbit/vowpal_wabbit,3, r_l.snapshot. v,33,2,22,10,43,0 days 00:00:00.531760
1452,gwuhaolin/livego,1,,0,0,0,13,13,0 days 00:00:00.016448
1453,sahat/satellizer,1,,14,7,4,41,55,0 days 00:00:00.104264
1454,apache/dolphinscheduler,1,,5,0,4,19,24,0 days 00:00:00.679406
1455,szimek/signature_pad,1,v,11,0,2,19,30,0 days 00:00:00.026889
1456,rematch/rematch,8, @rematch/select@ @rematch/updated@ @rematch/persist@ @rematch/loading@ @rematch/typed-state@ @rematch/core@ @rematch/immer@,16,3,6,46,62,0 days 00:00:00.114423
1457,smicallef/spiderfoot,1,v,8,1,6,1,9,0 days 00:00:00.155975
1458,ng-bootstrap/ng-bootstrap,1,,27,12,6,49,76,0 days 00:00:00.210415
1459,airbnb/epoxy,1,,41,4,4,22,63,0 days 00:00:00.041793
1460,ChrisRM/material-theme-jetbrains,2, v,83,42,1,163,246,0 days 00:00:00.218258
1461,firefly-iii/firefly-iii,1,,41,18,8,201,242,0 days 00:00:01.123079
1462,dexie/Dexie.js,1,v,9,0,8,24,33,0 days 00:00:00.278524
1463,arrow-py/arrow,1,,17,1,11,37,54,0 days 00:00:00.081304
1464,doitsujin/dxvk,1,v,40,30,5,32,72,0 days 00:00:00.223238
1465,PostHog/posthog,1,,37,32,0,25,62,0 days 00:00:00.536665
1466,adrai/flowchart.js,1,v,17,0,1,31,48,0 days 00:00:00.023743
1467,grommet/grommet,2, v,41,18,7,76,117,0 days 00:00:00.538678
1468,Jguer/yay,1,v,49,19,9,26,75,0 days 00:00:00.121446
1469,Pikaday/Pikaday,1,,9,1,6,6,15,0 days 00:00:00.029797
1470,JustArchiNET/ArchiSteamFarm,1,,167,83,9,431,598,0 days 00:00:00.935740
1471,hs-web/hsweb-framework,3, V v,3,0,2,12,15,0 days 00:00:00.111203
1472,coturn/coturn,2,upstream/ ,13,0,5,43,56,0 days 00:00:00.066221
1473,qutebrowser/qutebrowser,1,v,32,4,16,49,81,0 days 00:00:01.253768
1474,mediaelement/mediaelement,1,,32,8,11,117,149,0 days 00:00:00.220285
1475,tiangolo/typer,1,,4,0,1,15,19,0 days 00:00:00.021138
1476,hackmdio/codimd,2, v,10,0,7,16,26,0 days 00:00:00.150824
1477,mjmlio/mjml,3, V v,25,8,10,50,75,0 days 00:00:00.142527
1478,reduxjs/redux-toolkit,3, @rtk-query/graphql-request-base-query@ v,19,4,6,38,57,0 days 00:00:00.214823
1479,huggingface/datasets,1,,26,21,1,26,52,0 days 00:00:00.152538
1480,wtfutil/wtf,2, v,41,25,1,26,67,0 days 00:00:00.145050
1481,scylladb/scylla,1,scylla-,33,11,10,130,163,0 days 00:00:01.932470
1482,d2l-ai/d2l-en,1,v,8,1,4,17,25,0 days 00:00:00.396426
1483,google/cadvisor,2, v,45,19,15,71,116,0 days 00:00:00.177178
1484,ArchiveBox/ArchiveBox,1,v,3,0,2,24,27,0 days 00:00:00.131088
1485,justauth/JustAuth,3, v. v,14,5,1,25,39,0 days 00:00:00.038109
1486,zalmoxisus/redux-devtools-extension,2, v,27,15,2,43,70,0 days 00:00:00.058664
1487,openzfs/zfs,1,zfs-,6,0,5,60,66,0 days 00:00:01.978944
1488,grpc-ecosystem/grpc-gateway,1,v,28,7,7,43,71,0 days 00:00:00.107892
1489,fabric/fabric,1,,26,4,18,97,123,0 days 00:00:00.343854
1490,automerge/automerge,1,v,13,3,6,20,33,0 days 00:00:00.040787
1491,verdaccio/verdaccio,1,v,64,21,8,148,212,0 days 00:00:00.420283
1492,MithrilJS/mithril.js,3,ospec-v ospec_v v,7,2,3,55,62,0 days 00:00:00.184967
1493,simple-icons/simple-icons,2, v,116,86,0,27,143,0 days 00:00:00.476106
1494,Tencent/APIJSON,1,,37,18,7,51,88,0 days 00:00:00.150928
1495,powerline/powerline,1,,13,3,7,10,23,0 days 00:00:00.142014
1496,orhanobut/logger,2, v,13,1,3,1,14,0 days 00:00:00.014993
1497,android-hacker/VirtualXposed,2, v,12,0,2,55,67,0 days 00:00:00.115076
1498,authelia/authelia,1,v,55,33,5,114,169,0 days 00:00:00.208927
1499,getgrav/grav,1,,13,3,8,170,183,0 days 00:00:00.528471
1500,shelljs/shelljs,1,v,6,0,4,33,39,0 days 00:00:00.047978
1501,apache/incubator-brpc,2, v,3,0,2,3,6,0 days 00:00:00.121176
1502,openjdk/jdk,0,,0,0,0,0,0,0 days 00:00:00.167723
1503,woocommerce/woocommerce,3, @woocommerce/e2e-environment@ v,50,28,17,349,399,0 days 00:00:03.462904
1504,microsoft/recommenders,1,,9,0,7,2,11,0 days 00:00:00.484151
1505,Budibase/budibase,1,v,10,5,2,479,489,0 days 00:00:01.376115
1506,RaRe-Technologies/gensim,1,,23,6,11,36,59,0 days 00:00:00.331092
1507,liabru/matter-js,1,,10,1,6,8,18,0 days 00:00:00.039515
1508,microsoft/AirSim,2,v. v,3,1,1,15,18,0 days 00:00:00.079352
1509,python/mypy,1,v,59,22,8,7,66,0 days 00:00:00.809741
1510,timescale/timescaledb,1,,28,7,8,33,61,0 days 00:00:00.240997
1511,MarlinFirmware/Marlin,1,,2,0,1,37,39,0 days 00:00:01.045059
1512,remotion-dev/remotion,1,v,14,8,1,81,95,0 days 00:00:00.536140
1513,aws-amplify/amplify-js,31, @aws-amplify/pubsub@ aws-amplify-vue@ @aws-amplify/analytics@ amazon-cognito-identity-js@ aws-amplify@ @aws-amplify/xr@ aws-amplify-react-native@ @aws-amplify/storage@ aws-amplify-angular@ @aws-amplify/cache@ @aws-amplify/api@ aws-amplify-react-naitve@ @aws-amplify/ui@ @aws-amplify/ui-angular@ @aws-amplify/ui-vue@ @aws-amplify/ui-react@ @aws-amplify/pushnotification@ @aws-amplify/core@ @aws-amplify/api-graphql@ @aws-amplify/ui-components@ @aws-amplify/geo@ aws-amplify-react@ @aws-amplify/predictions@ @aws-amplify/datastore@ @aws-amplify/datastore-storage-adapter@ @aws-amplify/api-rest@ @aws-amplify/interactions@ @aws-amplify/ui-storybook@ v @aws-amplify/auth@,54,0,0,3284,3338,0 days 00:00:15.545703
1514,ahmetb/kubectx,1,v,9,1,1,11,20,0 days 00:00:00.022596
1515,flipped-aurora/gin-vue-admin,3,V v. v,7,2,2,21,28,0 days 00:00:00.107051
1516,mdx-js/mdx,2, v,26,8,2,140,166,0 days 00:00:00.174226
1517,txthinking/brook,1,v,43,9,4,0,43,0 days 00:00:00.050671
1518,keepassxreboot/keepassxc,1,,8,0,7,29,37,0 days 00:00:00.211915
1519,Konloch/bytecode-viewer,5, v b b. B,17,1,1,41,58,0 days 00:00:00.078901
1520,pavlobu/deskreen,1,v,1,0,0,12,13,0 days 00:00:00.018380
1521,the1812/Bilibili-Evolved,1,v,7,0,6,74,81,0 days 00:00:00.499480
1522,brix/crypto-js,2, release-,4,0,1,10,14,0 days 00:00:00.018251
1523,eclipse-vertx/vert.x,4, v Eclipse_Initial_Contribution_ _old/v,18,0,15,57,75,0 days 00:00:00.453037
1524,microsoft/WSL,1,,2,0,0,9,11,0 days 00:00:00.015260
1525,modood/Administrative-divisions-of-China,1,,9,0,2,7,16,0 days 00:00:00.015832
1526,mockito/mockito,1,v,58,16,6,409,467,0 days 00:00:00.534798
1527,xtermjs/xterm.js,1,,76,29,6,35,111,0 days 00:00:00.477956
1528,Unity-Technologies/ml-agents,5, release_ python-packages_ com.unity.ml-agents_ v,57,15,6,33,90,0 days 00:00:00.222038
1529,termux/termux-app,1,v,89,20,7,0,89,0 days 00:00:00.080531
1530,redwoodjs/redwood,2, v,57,51,1,71,128,0 days 00:00:00.476496
1531,xtaci/kcptun,2, v,106,19,0,0,106,0 days 00:00:00.065544
1532,jsdoc/jsdoc,11, @jsdoc/eslint-config@ @jsdoc/parse@ @jsdoc/prettier-config@ @jsdoc/cli@ @jsdoc/task-runner@ @jsdoc/util@ @jsdoc/test-matchers@ v @jsdoc/tag@ @jsdoc/core@,12,0,6,99,111,0 days 00:00:00.144769
1533,arduino/Arduino,1,,26,3,12,46,72,0 days 00:00:00.440053
1534,bcicen/ctop,2, v,5,2,2,11,16,0 days 00:00:00.035737
1535,selectize/selectize.js,1,v,12,1,2,64,76,0 days 00:00:00.061677
1536,WerWolv/ImHex,1,v,19,14,2,12,31,0 days 00:00:00.070408
1537,GoogleContainerTools/skaffold,1,v,80,76,0,29,109,0 days 00:00:00.555597
1538,gionkunz/chartist-js,1,v,11,5,4,47,58,0 days 00:00:00.053941
1539,wechaty/wechaty,1,v,15,4,7,8,23,0 days 00:00:00.373346
1540,ether/etherpad-lite,1,,8,0,7,50,58,0 days 00:00:00.461033
1541,http-party/node-http-proxy,2, v,27,4,8,70,97,0 days 00:00:00.082700
1542,filp/whoops,1,,18,1,5,50,68,0 days 00:00:00.072397
1543,kubernetes/ingress-nginx,6, controller- controller-v helm-chart- nginx- ingress-nginx-,100,43,4,75,175,0 days 00:00:00.389974
1544,Semantic-Org/Semantic-UI-React,1,v,93,32,5,211,304,0 days 00:00:00.285664
1545,reduxjs/redux-devtools,48,d3-state-visualizer-tree-example@ slider-todomvc@ @redux-devtools/inspector-monitor-trace-tab@ react-dock@ @redux-devtools/cli@ @redux-devtools/rtk-query-monitor@ @redux-devtools/inspector-monitor-test-tab@ @redux-devtools/remote@ redux-devtools-inspector@ @redux-devtools/log-monitor@ inspector-demo@ redux-devtools-chart-monitor@ react-json-tree@ @redux-devtools/app@ test-demo@ @redux-devtools/slider-monitor@ @redux-devtools/inspector-monitor@ @redux-devtools/utils@ redux-devtools-test-generator@ remotedev-serialize@ @redux-devtools/dock-monitor@ react-base16-styling@ rtk-query-demo@ d3tooltip@ react-json-tree-example@ @redux-devtools/chart-monitor@ counter-redux@ react-json-tree-testing@ redux-devtools@ redux-devtools-testing@ redux-devtools-extension@ todomvc@ @redux-devtools/ui@ redux-devtools-dock-monitor@ map2tree@ remotedev-redux-devtools-extension@ extension@ redux-devtools-trace-monitor@ redux-devtools-instrument@ @redux-devtools/serialize@ @redux-devtools/extension@ d3-state-visualizer@ redux-devtools-serialize@ @redux-devtools/core@ react-dock-demo@ @redux-devtools/instrument@ v redux-devtools-log-monitor@,41,3,3,260,301,0 days 00:00:00.296960
1546,nrwl/nx,1,,75,59,0,218,293,0 days 00:00:00.541123
1547,google/gvisor,1,release-,99,89,1,0,99,0 days 00:00:00.353350
1548,DIYgod/DPlayer,2, v,21,2,4,21,42,0 days 00:00:00.064959
1549,Foundry376/Mailspring,1,,11,1,6,43,54,0 days 00:00:00.474819
1550,you-dont-need/You-Dont-Need-Momentjs,1,v,6,0,2,5,11,0 days 00:00:00.018529
1551,CachetHQ/Cachet,1,v,7,1,2,30,37,0 days 00:00:00.325503
1552,formatjs/formatjs,37,@formatjs/vue-intl@ vue-intl@ @formatjs/ts-transformer@ @formatjs/intl-getcanonicallocales@ @formatjs/intl@ babel-plugin-formatjs@ @formatjs/icu-messageformat-parser@ @formatjs/intl-utils@ @formatjs/ecma376@ formatjs-extract-cldr-data@ @formatjs/macro@ eslint-plugin-formatjs@ @formatjs/ecma402-abstract@ @formatjs/intl-relativetimeformat@ @formatjs/intl-listformat@ formatjs-website@ website@ @formatjs/editor@ @formatjs/intl-localematcher@ @formatjs/intl-datetimeformat@ @formatjs/intl-pluralrules@ @formatjs/fast-memoize@ @formatjs/cli@ @formatjs/icu-skeleton-parser@ intl-messageformat-parser@ @formatjs/intl-numberformat@ babel-plugin-react-intl@ @formatjs/intl-unified-numberformat@ @formatjs/intl-displaynames@ intl-format-cache@ intl-locales-supported@ intl-messageformat@ react-intl@ @formatjs/intl-locale@ v @formatjs/ecma-376@ @formatjs/swc-plugin@,130,5,6,2030,2160,0 days 00:00:05.720762
1553,flarum/flarum,1,v,3,0,0,0,3,0 days 00:00:00.027406
1554,dutchcoders/transfer.sh,1,v,5,0,4,13,18,0 days 00:00:00.040769
1555,rwaldron/johnny-five,2, v,14,1,4,73,87,0 days 00:00:00.175828
1556,umijs/qiankun,1,v,14,0,2,92,106,0 days 00:00:00.066910
1557,NodeBB/NodeBB,1,v,30,2,17,93,123,0 days 00:00:01.189167
1558,faressoft/terminalizer,1,v,6,1,0,25,31,0 days 00:00:00.018496
1559,Intervention/image,1,,15,0,3,93,108,0 days 00:00:00.179080
1560,redux-form/redux-form,1,v,46,11,7,141,187,0 days 00:00:00.140583
1561,revel/revel,1,v,18,4,10,7,25,0 days 00:00:00.074752
1562,BrainJS/brain.js,1,,4,0,1,16,20,0 days 00:00:00.033728
1563,ory/hydra,3, sdk/go/hydra/v v,20,5,6,126,146,0 days 00:00:00.173530
1564,pulumi/pulumi,3,pkg/v sdk/v v,90,81,2,393,483,0 days 00:00:00.716615
1565,aleju/imgaug,1,,3,0,2,9,12,0 days 00:00:00.116394
1566,adonisjs/core,3,@adonisjs/framework@v @adonisjs/framework@ v,24,3,6,139,163,0 days 00:00:00.224774
1567,onnx/onnx,1,v,13,1,10,9,22,0 days 00:00:00.101820
1568,google/yapf,2,yapf-v v,31,10,8,34,65,0 days 00:00:00.063923
1569,apache/hadoop,3,release- rel/submarine- rel/release-,39,1,14,92,131,0 days 00:00:03.138413
1570,charmbracelet/bubbletea,1,v,20,4,3,27,47,0 days 00:00:00.040635
1571,uxsolutions/bootstrap-datepicker,2, v,10,0,8,13,23,0 days 00:00:00.076758
1572,facebook/stetho,1,v,7,0,5,6,13,0 days 00:00:00.034527
1573,moment/luxon,1,,37,2,4,69,106,0 days 00:00:00.071147
1574,showdownjs/showdown,2, v,14,3,5,42,56,0 days 00:00:00.046833
1575,pqina/filepond,1,,52,7,0,143,195,0 days 00:00:00.091901
1576,thephpleague/flysystem,1,,13,2,4,175,188,0 days 00:00:00.164142
1577,eclipse/deeplearning4j,2,_old/deeplearning4j- _old/deeplearning4j-parent-,9,1,3,16,25,0 days 00:00:00.953844
1578,CodisLabs/codis,1,,3,0,2,33,36,0 days 00:00:00.253694
1579,psf/requests-html,1,v,8,3,1,22,30,0 days 00:00:00.027564
1580,horovod/horovod,1,v,16,1,8,53,69,0 days 00:00:00.073835
1581,myliang/x-spreadsheet,1,v,1,0,0,26,27,0 days 00:00:00.030776
1582,signalapp/Signal-Desktop,2,c v,124,93,3,169,293,0 days 00:00:00.603225
1583,apollographql/apollo-server,36,apollo-server@ apollo-federation-integration-testsuite@ apollo-reporting-protobuf@ apollo-server-micro@ apollo-server-caching@ publish/ apollo-server-lambda@ apollo-server-koa@ @apollo/federation@ apollo-server-hapi@ apollo-graphql@ apollo-server-env@ graphql-extensions@ apollo-server-types@ apollo-cache-control@ apollo-server-fastify@ apollo-server-testing@ apollo-server-cache-memcached@ apollo-datasource-rest@ apollo-server-cache-redis@ apollo-server-cloud-functions@ @apollo/gateway@ apollo-engine-reporting@ apollo-tracing@ apollo-server-plugin-base@ apollo-server-cloudflare@ apollo-server-plugin-operation-registry@ apollo-server-express@ apollo-server-integration-testsuite@ apollo-server-plugin-response-cache@ apollo-server-errors@ v apollo-datasource@ apollo-server-azure-functions@ apollo-engine-reporting-protobuf@ apollo-server-core@,247,47,1,2316,2563,0 days 00:00:08.943255
1584,aio-libs/aiohttp,4, v. 4v v,38,13,9,124,162,0 days 00:00:00.555131
1585,aws/aws-cli,1,,46,18,9,1642,1688,0 days 00:00:03.689193
1586,saltstack/salt,2,old-branch- v,62,15,19,151,213,0 days 00:00:06.623700
1587,openstf/stf,1,v,12,1,7,16,28,0 days 00:00:00.109468
1588,bvaughn/react-window,1,,4,1,1,16,20,0 days 00:00:00.028608
1589,OptimalBits/bull,2, v,49,7,10,84,133,0 days 00:00:00.298060
1590,keycloak/keycloak,1,,16,2,7,21,37,0 days 00:00:00.761266
1591,google/tink,3,go/v go/integration/hcvault/v v,7,0,6,9,16,0 days 00:00:00.183022
1592,josdejong/mathjs,1,v,109,64,2,118,227,0 days 00:00:00.408471
1593,umijs/umi,37,umi-library@ umi-ui@ umi-server@ umi-plugin-yunfengdie@ umi-utils@ umi-plugin-hd@ umi-plugin-locale@ umi-ui-theme@ umi-build-dev@ umi-core@ umi-plugin-polyfills@ umi-router@ umi-plugin-auto-externals@ eslint-config-umi@ umi-plugin-dva@ umi@ af-webpack@ umi-plugin-react@ umi-plugin-prerender@ umi-plugin-routes@ umi% umi-plugin-datahub@ umi-plugin-modern-mode@ umi-serve@ umi-plugin-es5-imcompatible-versions@ umi-plugin@ umi-plugin-polyfill@ umi-ui-tasks@ umi-types@ umi-test@ umi-plugin-ui@ umi-plugin-dll@ babel-preset-umi@ umi-mock@ @umijs/plugin-prerender@ v umi-buildAndDev@,62,4,4,1402,1464,0 days 00:00:03.020752
1594,pyecharts/pyecharts,1,v,14,3,5,29,43,0 days 00:00:00.134835
1595,barryvdh/laravel-ide-helper,1,v,25,1,11,61,86,0 days 00:00:00.065944
1596,kovidgoyal/calibre,2, v,252,251,0,57,309,0 days 00:00:02.494309
1597,MaterialDesignInXAML/MaterialDesignInXamlToolkit,2, v,21,5,12,12,33,0 days 00:00:00.334370
1598,uuidjs/uuid,1,v,16,4,6,21,37,0 days 00:00:00.036218
1599,surmon-china/vue-awesome-swiper,2, v,14,0,1,36,50,0 days 00:00:00.028433
1600,qmk/qmk_firmware,10, breakpoint_ drop- ergodox_ez- planck- preonic- gh60- LUFA- planck-light- v,29,0,14,1440,1469,0 days 00:00:03.926169
1601,zhihu/Matisse,1,v,0,0,0,3,3,0 days 00:00:00.017391
1602,go-sql-driver/mysql,2,beta v,10,2,6,8,18,0 days 00:00:00.051568
1603,tensorflow/tensor2tensor,3, v. v,15,5,4,61,76,0 days 00:00:00.399957
1604,gunthercox/ChatterBot,1,,10,0,9,65,75,0 days 00:00:00.099416
1605,GoogleCloudPlatform/microservices-demo,1,v,3,0,2,16,19,0 days 00:00:00.046005
1606,danilowoz/react-content-loader,2, v,16,0,3,27,43,0 days 00:00:00.027518
1607,liriliri/eruda,1,v,15,2,5,40,55,0 days 00:00:00.048062
1608,OpenAPITools/openapi-generator,2, v,16,2,11,38,54,0 days 00:00:00.982266
1609,antlr/antlr4,3, antlr4-master- v,11,1,9,15,26,0 days 00:00:00.528496
1610,gaearon/react-hot-loader,2, v,25,7,4,107,132,0 days 00:00:00.241124
1611,pandao/editor.md,1,v,6,0,0,14,20,0 days 00:00:00.012555
1612,linnovate/mean,2, v,4,0,3,9,13,0 days 00:00:00.113206
1613,gruntjs/grunt,1,v,7,0,2,14,21,0 days 00:00:00.102498
1614,pinpoint-apm/pinpoint,2, v,9,0,7,25,34,0 days 00:00:00.775388
1615,wkhtmltopdf/wkhtmltopdf,1,,8,1,1,31,39,0 days 00:00:00.054972
1616,11ty/eleventy,1,v,13,2,6,41,54,0 days 00:00:00.084103
1617,systemjs/systemjs,2, v,40,8,3,187,227,0 days 00:00:00.154884
1618,wagtail/wagtail,3,caltech-upgrade-point- ads- v,40,6,13,99,139,0 days 00:00:00.898453
1619,aquasecurity/trivy,1,v,28,13,2,59,87,0 days 00:00:00.203380
1620,rt2zz/redux-persist,1,v,36,4,4,76,112,0 days 00:00:00.059118
1621,withastro/astro,31,@astrojs/test-static-build-pkg@ @astrojs/markdown-support@ @astrojs/solid-js@ @astrojs/vercel@ create-astro@ @astrojs/preact@ @astrojs/netlify@ @astrojs/markdown-remark@ @astrojs/sitemap@ @astrojs/webapi@ @astrojs/renderer-solid@ @astrojs/react@ @astrojs/svelte@ @astrojs/turbolinks@ @astrojs/renderer-react@ @astrojs/renderer-preact@ @astrojs/deno@ @astrojs/node@ @astrojs/partytown@ @astrojs/renderer-svelte@ astro@ @astrojs/prism@ @astrojs/renderer-lit@ @astrojs/lit@ @astrojs/telemetry@ @astrojs/tailwind@ @astrojs/rss@ @astrojs/renderer-vue@ @astrojs/vue@ v @astrojs/parser@,20,0,0,248,268,0 days 00:00:00.236017
1622,arangodb/arangodb,3, documentation- v,31,3,18,319,350,0 days 00:00:03.752822
1623,electron-userland/electron-builder,5, docker@ electron-updater-v electron-updater@ v,320,17,4,434,754,0 days 00:00:00.677780
1624,mishoo/UglifyJS,2,harmony-v v,25,3,11,306,331,0 days 00:00:00.420223
1625,visionmedia/supertest,2, v,29,2,9,29,58,0 days 00:00:00.036151
1626,lra/mackup,1,,8,4,3,53,61,0 days 00:00:00.099418
1627,cilium/cilium,2, v,17,0,7,287,304,0 days 00:00:01.488589
